Test Group,Rack,host  IP,idrac ip,Model,Service tag,Hostname,sys_gen,Form,Slot,bios version,cpu_name,cpu family,memory,backplane,boss card info,perc info,perc version
,B1,192.168.1.155,10.148.76.242,R740,42WFXK2,,14G,,0,2.24.0,Intel Xeon Bronze 3104,Skylake,DDR4 DIMM,,,,
,B1,,10.148.76.246,R740XD,D82DXK2,CVE-DELL-1-2.micron.com,14G,,32,2.20.1,Intel Xeon Bronze 3104,Skylake,DDR4 DIMM,2.52,,PERC H740P Mini,
,B1,,10.148.76.239,R640,9P0BXK2,WINDOWS-G50OCFG,14G,,8,2.24.0,Intel Xeon Bronze 3104,Skylake,DDR4 DIMM,4.35,,,
,B1,,10.148.76.240,R640,4DBDXK2,MINWINPC,14G,,0,2.24.0,Intel Xeon Bronze 3104,Skylake,DDR4 DIMM,,,,
,B1,,10.148.76.238,R540,GGNW7M2,WIN-MOS9MA79S03,14G,,14,2.18.1,Intel Xeon Gold 5118,Skylake,DDR4 DIMM,2.52,,PERC H730P Adapter,
,B1,,10.148.76.241,R640,D86HXK2,CVE-DELL-1-12,14G,,4,2.6.4,Intel Xeon Bronze 3104,Skylake,DDR4 DIMM,4.35,,PERC H740P Mini,
,B1,,10.148.76.249,R840,J1ZGHQ2,,14G,,8,2.6.4,Intel Xeon Gold 5115,Skylake,DDR4 DIMM,4.35,BOSS-S1,PERC H330 Adapter,2.5.13.3022
,B1,,10.148.76.243,R740,42XFXK2,CVE-DELL-1-10,14G,,16,2.6.4,Intel Xeon Bronze 3104,Skylake,DDR4 DIMM,2.46,,PERC H740P Mini,
,B1,,10.148.76.244,R740,42XDXK2,,14G,,8,2.6.4,Intel Xeon Bronze 3104,Skylake,DDR4 DIMM,4.35,,PERC H730P Mini,
,B1,,10.148.76.248,R840,9K71HQ2,cve-dell-1-18.micron.com,14G,,0,2.18.1,Intel Xeon Gold 5115,Skylake,DDR4 DIMM,2.52,BOSS-S1,PERC H740P Adapter,2.5.13.3024
,B1,,10.148.76.245,R740XD,D82BXK2,,14G,,24,2.10.2,Intel Xeon Bronze 3104,Skylake,DDR4 DIMM,2.52,,PERC H740P Mini,
,B1,,10.148.76.252,C6420,236TQP2,CVE-DELL-1-5,14G,,6,2.18.1,Intel Xeon Bronze 3104,Skylake,DDR4 DIMM,4.35,,PERC H330 Mini,
,B1,,10.148.76.247,R940XA,9KG0HQ2,WIN-LGB13HVCA90,14G,,8,2.14.2,Intel Xeon Gold 5115,Skylake,DDR4 DIMM,4.35,BOSS-S1,,
,B3,,10.148.77.231,C6615,2XSKX74,,16G,,2,1.6.2,AMD EPYC 8324P,Genoa,DDR5 DIMM,7.1,BOSS-N1 Modular(Integrated),,
,B3,,10.148.77.232,C6615,7LGRK84,7LGRK84,16G,,4,1.5.6,AMD EPYC 8124P,Genoa,DDR5 DIMM,7.1,BOSS-N1 Modular(Integrated),PERC H755 Adapter,2.1.13.2025
,B3,,10.148.77.241,R670,HJMRK84,MINWINPC,17G,,8,1.3.2,Intel Xeon 6746E,Sierra Forest,DDR5 DIMM,1.72,BOSS-N1 DC-MHS,,
,B3,,10.148.77.237,R760,7MSZT64,,16G,,16,2.6.3,Intel Xeon Gold 6542Y,Emerald Rapids,DDR5 DIMM,1.75,BOSS-N1 Monolithic,,
,B3,,10.148.77.233,C6615,8LGRK84,,16G,,4,1.7.4,AMD EPYC 8324P,Genoa,DDR5 DIMM,7.1,BOSS-N1 Modular(Integrated),,
SI/ESS-Hybrid,B3,,10.148.77.239,R7625,JQD8704,E6S29-DEL-WIN22,16G,,24,1.12.4,AMD EPYC 9124,Genoa,DDR5 DIMM,3.32,BOSS-N1 Monolithic,PERC S160 Controller,2.1.13.2025
,B3,,10.148.77.240,R660,6257X74,,16G,,16,2.4.4,Intel Xeon Gold 6542Y,Emerald Rapids,DDR5 DIMM,7.1,BOSS-N1 Monolithic,PERC H965i Front(Dual PERC),2.1.13.2025
,B3,,10.148.77.251,R660,5257X74,B3S04-DEL-WIN25,16G,,8,2.5.4,Intel Xeon Gold 6534,Emerald Rapids,DDR5 DIMM,7.1,BOSS-N1 Monolithic,PERC H755N Front,2.1.13.2033
,B3,,10.148.77.250,R760,GGY6X74,MINWINPC,16G,,24,2.6.3,Intel Xeon Gold 6548Y+,Emerald Rapids,DDR5 DIMM,,BOSS-N1 Monolithic,PERC S160 Controller,2.1.13.2025
,B3,,10.148.77.245,R660,GKJ2V64,,16G,,10,2.1.0,Intel Xeon Silver 4514Y,Emerald Rapids,DDR5 DIMM,7.1,BOSS-N1 Monolithic,,
,B3,,10.148.77.246,R770,BKNZJ74,B3S28-DEL-WIN25,17G,,8,1.2.6,Intel Xeon 6740E,Sierra Forest,DDR5 DIMM,1.66,BOSS-N1 DC-MHS,,
