Test Group,Rack,host  IP,idrac ip,Model,Service tag,Hostname,sys_gen,Form,Slot,bios version,cpu_name,cpu family,memory,backplane,boss card info,perc info,perc version
RCI,B19,192.168.85.128,10.148.57.215,R7715,98HLZ85,aseda-VMware-Vm1,17G,,24,1.1.2,AMD EPYC 9355P,Turin,DDR5 DIMM,1.72,BOSS-N1 DC-MHS,,
RCI,B19,10.148.57.241,10.148.57.215,R7715,98HLZ84,98HLZ84-u2404,17G,,24,1.1.2,AMD EPYC 9355P,Turin,DDR5 DIMM,1.72,BOSS-N1 DC-MHS,PERC H965i Front,2.2.13.2033
RCI/ESS-Hybrid,B19,10.148.57.218,10.148.57.219,R6715,5LFPZ84,b19s18-5lpz84,17G,,16,1.1.2,AMD EPYC 9555P,Turin,DDR5 DIMM,1.72,BOSS-N1 DC-MHS,,
RCI,B19,10.148.57.221,10.148.57.222,R7725,J6CCZ84,j6ccz84-PowerEdge7725,17G,,8,1.1.3,AMD EPYC 9135,Turin,DDR5 DIMM,1.72,BOSS-N1 DC-MHS,,
RCI,B19,10.148.57.220,http://10.148.57.223,R6725,2CKCZ84,b19-2ckcz84,17G,E3.S,8,1.2.4,AMD EPYC 9135,Turin,DDR5 DIMM,1.77,BOSS-N1 DC-MHS,,
RCI,B19,10.145.44.238,http://10.148.57.229,R7525,FD2XZC3,b19s25-fd2xzc3,15G,E3.S,16,2.16.3,AMD EPYC 7272,Rome,DDR4 DIMM,7.1,BOSS-N1 Monolithic,PERC H755N Front(Dual PERC),2.0.13.2008
,B19,10.148.57.235,10.148.57.236,R760,16B8704,B19-DELL-16B870,16G,U.2,24,2.3.5,Intel Xeon Silver 4410Y,Sapphire Rapids,DDR5 DIMM,3.32,BOSS-N1 Monolithic,,
RCI/ESS-Hybrid,B19,10.148.57.238,http://10.148.57.240,R6615,9MZ4704,9mz4704-r6615-u24,16G,U.2,10,1.12.4,AMD EPYC 9124,Genoa,DDR5 DIMM,7.1,BOSS-N1 Monolithic,,
RCI/Falcon,B19,10.148.57.238,http://10.148.57.241,R760,9220XX3,esx7-vsan-dtest-1b.micron.com,16G,U.2,24,2.6.3,Intel Xeon Gold 6430,Sapphire Rapids,DDR5 DIMM,7.1,,PERC S160 Controller,
RCI/Falcon,B19,10.148.57.237,http://10.148.57.244,R760,BP8DH04,b19s11-bp8dh04-u2204,16G,E3.S,16,2.6.5,Intel Xeon Gold 6430,Sapphire Rapids,DDR5 DIMM,1.75,BOSS-N1 Monolithic,,
RCI/ESS-Hybrid,B19,10.148.57.249,http://10.148.57.239,R660,GZ70XX3,b19s20-r660-rhel96.micron.com,16G,E3.S,16,2.1.0,Intel Xeon Gold 6430,Sapphire Rapids,DDR5 DIMM,7.1,BOSS-S1,PERC S160 Controller,2.5.13.3024
RCI,B19,10.148.57.227,http://10.148.57.242,R7625,D77J7Y3,b19s13-D77J7Y3,16G,U.2,24,1.12.4,AMD EPYC 9224,Genoa,DDR5 DIMM,1.61,BOSS-N1 Monolithic,PERC H965i Front,2.1.13.2033
RCI/Falcon,B19,10.148.57.225,http://10.148.57.226,R670,1P00L84,b19s-1P00L84,17G,E3.S,8,1.3.2,Intel Xeon 6710E,Sierra Forest,DDR5 DIMM,1.77,,,
RCI,B19,10.148.57.234,http://10.148.57.245,R770,9LMRK84,WIN-15SCV8EFDSD,17G,E3.S,16,1.2.6,Intel Xeon 6746E,Sierra Forest,DDR5 DIMM,1.72,,,
RCI,B19,10.148.57.217,10.148.57.243,R7715,FFHLZ84,b19s28-del-u2204,17G,,16,1.1.2,AMD EPYC 9555P,Turin,DDR5 DIMM,1.72,BOSS-N1 DC-MHS,,
RCI,B19,10.148.57.230,http://10.148.57.251,R6625,FD8DH04,b19s24-fd8dh04-u2204,16G,E3.S,14,1.12.4,AMD EPYC 9224,Genoa,DDR5 DIMM,7.1,BOSS-N1 Monolithic,,
RCI/Falcon,B19,10.148.57.233,http://10.148.57.248,R770,8LMRK84,b19s01-8lmrk84 ,17G,U.2,8,1.3.2,Intel Xeon 6710E,Sierra Forest,DDR5 DIMM,1.77,,,
RCI,B19,10.148.57.216,http://10.148.57.250,R670,1KMRK84,b19s5-1kmrk84-u2404,17G,U.2,8,1.2.6,Intel Xeon 6710E,Sierra Forest,DDR5 DIMM,1.72,,PERC H965i Front,
RCI/ESS-Hybrid,B19,10.148.57.251,http://10.148.57.252,R670,JJMRK84,cve-dell-b19-7,17G,U.2,8,1.3.2,Intel Xeon 6710E,Sierra Forest,DDR5 DIMM,1.77,,,
RCI,B19,10.148.57.231,http://10.148.57.247,R770,CLMRK84,b19s03-clmrk84,17G,U.2,8,1.2.6,Intel Xeon 6710E,Sierra Forest,DDR5 DIMM,1.72,,PERC H965i Front,
